Task Name,Deadline,Importance,Description,Date Created,Estimation Time,Status
Finish internship report,2025-05-27 10:15:00,High,Summarize weekly progress,2025-05-22 09:30:00.000000,120 mins,In Progress
Buy groceries,2025-05-26 15:45:00,Medium,"Buy fruits, veggies, and milk",2025-05-21 14:20:00.000000,60 mins,Not Started
Study for exam,2025-05-29 18:00:00,High,Review chapters 3 to 5,2025-05-23 16:00:00.000000,180 mins,In Progress
Reply to emails,2025-05-25 09:00:00,Low,Respond to pending emails,2025-05-22 08:15:00.000000,45 mins,Completed
Prepare presentation,2025-05-30 11:00:00,High,Make slides for the upcoming talk,2025-05-24 10:00:00.000000,90 mins,Not Started
Go for a run,2025-05-24 07:30:00,Medium,30 minutes cardio run,2025-05-23 06:00:00.000000,30 mins,Completed
Call parents,2025-05-28 20:00:00,Low,Catch up with family,2025-05-22 19:00:00.000000,20 mins,Not Started
Clean the room,2025-05-26 12:00:00,Medium,Organize and vacuum the room,2025-05-23 13:30:00.000000,60 mins,In Progress
Read a book chapter,2025-05-27 21:00:00,Low,Read 10 pages,2025-05-24 20:00:00.000000,40 mins,Completed
Fix project bug,2025-05-25 16:00:00,High,Resolve API crash issue,2025-05-23 15:00:00.000000,150 mins,In Progress
Finish task2,2025-05-24 20:00:00,High,I need to finish my task 2 and I need to add a Machine learning layer as well.,2025-05-24 13:55:35.748465,120 mins,In Progress
